Tank;Condition;Temperature;Ploidy;Date;Fish;Days;Length
t-16;AB-28-2n;28;2n;25-11-2020;1;7;3.347
t-16;AB-28-2n;28;2n;25-11-2020;2;7;3.372
t-16;AB-28-2n;28;2n;25-11-2020;3;7;3.316
t-16;AB-28-2n;28;2n;25-11-2020;4;7;3.316
t-16;AB-28-2n;28;2n;25-11-2020;5;7;3.699
t-16;AB-28-2n;28;2n;25-11-2020;6;7;3.72
t-16;AB-28-2n;28;2n;25-11-2020;7;7;3.689
t-16;AB-28-2n;28;2n;25-11-2020;8;7;2.838
t-16;AB-28-2n;28;2n;25-11-2020;9;7;3.256
t-16;AB-28-2n;28;2n;25-11-2020;10;7;3.309
t-16;AB-28-2n;28;2n;25-11-2020;11;7;3.334
t-16;AB-28-2n;28;2n;25-11-2020;12;7;3.224
t-16;AB-28-2n;28;2n;25-11-2020;13;7;2.783
t-16;AB-28-2n;28;2n;25-11-2020;1;14;4.211
t-16;AB-28-2n;28;2n;25-11-2020;2;14;3.501
t-16;AB-28-2n;28;2n;25-11-2020;3;14;3.546
t-16;AB-28-2n;28;2n;25-11-2020;4;14;3.393
t-16;AB-28-2n;28;2n;25-11-2020;5;14;3.306
t-16;AB-28-2n;28;2n;25-11-2020;6;14;4.149
t-16;AB-28-2n;28;2n;25-11-2020;7;14;3.42
t-16;AB-28-2n;28;2n;25-11-2020;8;14;4.528
t-16;AB-28-2n;28;2n;25-11-2020;9;14;3.762
t-16;AB-28-2n;28;2n;25-11-2020;10;14;4.087
t-16;AB-28-2n;28;2n;25-11-2020;1;21;5.703
t-16;AB-28-2n;28;2n;25-11-2020;2;21;6.394
t-16;AB-28-2n;28;2n;25-11-2020;3;21;5.423
t-16;AB-28-2n;28;2n;25-11-2020;4;21;5.354
t-16;AB-28-2n;28;2n;25-11-2020;5;21;6.167
t-16;AB-28-2n;28;2n;25-11-2020;6;21;5.086
t-16;AB-28-2n;28;2n;25-11-2020;7;21;5.239
t-16;AB-28-2n;28;2n;25-11-2020;8;21;5.07
t-16;AB-28-2n;28;2n;25-11-2020;9;21;4.803
t-16;AB-28-2n;28;2n;25-11-2020;10;21;6.163
t-16;AB-28-2n;28;2n;25-11-2020;1;28;7.462
t-16;AB-28-2n;28;2n;25-11-2020;2;28;8.094
t-16;AB-28-2n;28;2n;25-11-2020;3;28;7.038
t-16;AB-28-2n;28;2n;25-11-2020;4;28;7.76
t-16;AB-28-2n;28;2n;25-11-2020;5;28;5.67
t-16;AB-28-2n;28;2n;25-11-2020;6;28;7.216
t-16;AB-28-2n;28;2n;25-11-2020;7;28;8.81
t-16;AB-28-2n;28;2n;25-11-2020;8;28;8.927
t-16;AB-28-2n;28;2n;25-11-2020;9;28;7.619
t-16;AB-28-2n;28;2n;25-11-2020;10;28;4.915
t-16;AB-28-2n;28;2n;25-11-2020;1;35;6.782
t-16;AB-28-2n;28;2n;25-11-2020;2;35;12.618
t-16;AB-28-2n;28;2n;25-11-2020;3;35;9.907
t-16;AB-28-2n;28;2n;25-11-2020;4;35;10.232
t-16;AB-28-2n;28;2n;25-11-2020;5;35;6.809
t-16;AB-28-2n;28;2n;25-11-2020;6;35;7.558
t-16;AB-28-2n;28;2n;25-11-2020;7;35;10.3
t-16;AB-28-2n;28;2n;25-11-2020;8;35;5.431
t-16;AB-28-2n;28;2n;25-11-2020;9;35;9.637
t-16;AB-28-2n;28;2n;25-11-2020;10;35;8.301
t-16;AB-28-2n;28;2n;25-11-2020;1;42;9.433
t-16;AB-28-2n;28;2n;25-11-2020;2;42;9.036
t-16;AB-28-2n;28;2n;25-11-2020;3;42;12.705
t-16;AB-28-2n;28;2n;25-11-2020;4;42;9.806
t-16;AB-28-2n;28;2n;25-11-2020;5;42;9.018
t-16;AB-28-2n;28;2n;25-11-2020;6;42;6.632
t-16;AB-28-2n;28;2n;25-11-2020;7;42;9.628
t-16;AB-28-2n;28;2n;25-11-2020;8;42;11.417
t-16;AB-28-2n;28;2n;25-11-2020;9;42;7.998
t-16;AB-28-2n;28;2n;25-11-2020;10;42;11.633
t-16;AB-28-2n;28;2n;25-11-2020;1;49;12.341
t-16;AB-28-2n;28;2n;25-11-2020;2;49;11.182
t-16;AB-28-2n;28;2n;25-11-2020;3;49;11.268
t-16;AB-28-2n;28;2n;25-11-2020;4;49;7.878
t-16;AB-28-2n;28;2n;25-11-2020;5;49;14.381
t-16;AB-28-2n;28;2n;25-11-2020;6;49;8.79
t-16;AB-28-2n;28;2n;25-11-2020;7;49;8.108
t-16;AB-28-2n;28;2n;25-11-2020;8;49;13.496
t-16;AB-28-2n;28;2n;25-11-2020;9;49;11.032
t-16;AB-28-2n;28;2n;25-11-2020;10;49;11.911
t-16;AB-28-2n;28;2n;25-11-2020;1;56;15.331
t-16;AB-28-2n;28;2n;25-11-2020;2;56;8.628
t-16;AB-28-2n;28;2n;25-11-2020;3;56;13.289
t-16;AB-28-2n;28;2n;25-11-2020;4;56;13.03
t-16;AB-28-2n;28;2n;25-11-2020;5;56;12.64
t-16;AB-28-2n;28;2n;25-11-2020;6;56;11.548
t-16;AB-28-2n;28;2n;25-11-2020;7;56;12.19
t-16;AB-28-2n;28;2n;25-11-2020;8;56;15.098
t-16;AB-28-2n;28;2n;25-11-2020;9;56;12.124
t-16;AB-28-2n;28;2n;25-11-2020;10;56;11.873
t-16;AB-28-2n;28;2n;25-11-2020;1;63;13.856
t-16;AB-28-2n;28;2n;25-11-2020;2;63;11.739
t-16;AB-28-2n;28;2n;25-11-2020;3;63;12.701
t-16;AB-28-2n;28;2n;25-11-2020;4;63;14.2
t-16;AB-28-2n;28;2n;25-11-2020;5;63;12.549
t-16;AB-28-2n;28;2n;25-11-2020;6;63;11.389
t-16;AB-28-2n;28;2n;25-11-2020;7;63;9.576
t-16;AB-28-2n;28;2n;25-11-2020;8;63;10.988
t-16;AB-28-2n;28;2n;25-11-2020;9;63;14.862
t-16;AB-28-2n;28;2n;25-11-2020;10;63;12.919
t-16;AB-28-2n;28;2n;25-11-2020;1;70;15.398
t-16;AB-28-2n;28;2n;25-11-2020;2;70;13.73
t-16;AB-28-2n;28;2n;25-11-2020;3;70;16.882
t-16;AB-28-2n;28;2n;25-11-2020;4;70;16.027
t-16;AB-28-2n;28;2n;25-11-2020;5;70;14.322
t-16;AB-28-2n;28;2n;25-11-2020;6;70;14.82
t-16;AB-28-2n;28;2n;25-11-2020;7;70;12.127
t-16;AB-28-2n;28;2n;25-11-2020;8;70;15.577
t-16;AB-28-2n;28;2n;25-11-2020;9;70;12.411
t-16;AB-28-2n;28;2n;25-11-2020;10;70;17.016
t-16;AB-28-2n;28;2n;25-11-2020;1;77;12.718
t-16;AB-28-2n;28;2n;25-11-2020;2;77;18.208
t-16;AB-28-2n;28;2n;25-11-2020;3;77;17.257
t-16;AB-28-2n;28;2n;25-11-2020;4;77;16.978
t-16;AB-28-2n;28;2n;25-11-2020;5;77;18.171
t-16;AB-28-2n;28;2n;25-11-2020;6;77;8.647
t-16;AB-28-2n;28;2n;25-11-2020;7;77;17.943
t-16;AB-28-2n;28;2n;25-11-2020;8;77;12.544
t-16;AB-28-2n;28;2n;25-11-2020;9;77;16.826
t-16;AB-28-2n;28;2n;25-11-2020;10;77;18.104
t-16;AB-28-2n;28;2n;25-11-2020;1;84;18.534
t-16;AB-28-2n;28;2n;25-11-2020;2;84;16.375
t-16;AB-28-2n;28;2n;25-11-2020;3;84;15.739
t-16;AB-28-2n;28;2n;25-11-2020;4;84;17.697
t-16;AB-28-2n;28;2n;25-11-2020;5;84;17.015
t-16;AB-28-2n;28;2n;25-11-2020;6;84;12.064
t-16;AB-28-2n;28;2n;25-11-2020;7;84;17.493
t-16;AB-28-2n;28;2n;25-11-2020;8;84;17.985
t-16;AB-28-2n;28;2n;25-11-2020;9;84;15.962
t-16;AB-28-2n;28;2n;25-11-2020;10;84;15.773
t-16;AB-28-2n;28;2n;25-11-2020;1;91;17.848
t-16;AB-28-2n;28;2n;25-11-2020;2;91;20.329
t-16;AB-28-2n;28;2n;25-11-2020;3;91;10.231
t-16;AB-28-2n;28;2n;25-11-2020;4;91;14.115
t-16;AB-28-2n;28;2n;25-11-2020;5;91;17.328
t-16;AB-28-2n;28;2n;25-11-2020;6;91;10.624
t-16;AB-28-2n;28;2n;25-11-2020;7;91;20.167
t-16;AB-28-2n;28;2n;25-11-2020;8;91;19.194
t-16;AB-28-2n;28;2n;25-11-2020;9;91;21.144
t-16;AB-28-2n;28;2n;25-11-2020;10;91;17.331
t-16;AB-28-2n;28;2n;25-11-2020;1;98;15.912
t-16;AB-28-2n;28;2n;25-11-2020;2;98;20.258
t-16;AB-28-2n;28;2n;25-11-2020;3;98;18.391
t-16;AB-28-2n;28;2n;25-11-2020;4;98;20.79
t-16;AB-28-2n;28;2n;25-11-2020;5;98;20.3
t-16;AB-28-2n;28;2n;25-11-2020;6;98;18.557
t-16;AB-28-2n;28;2n;25-11-2020;7;98;19.712
t-16;AB-28-2n;28;2n;25-11-2020;8;98;19.311
t-16;AB-28-2n;28;2n;25-11-2020;9;98;17.637
t-16;AB-28-2n;28;2n;25-11-2020;10;98;17.743
t-17;AB-28-2n;28;2n;25-11-2020;1;7;3.531
t-17;AB-28-2n;28;2n;25-11-2020;2;7;3.358
t-17;AB-28-2n;28;2n;25-11-2020;3;7;2.688
t-17;AB-28-2n;28;2n;25-11-2020;4;7;3.033
t-17;AB-28-2n;28;2n;25-11-2020;5;7;2.786
t-17;AB-28-2n;28;2n;25-11-2020;6;7;3.225
t-17;AB-28-2n;28;2n;25-11-2020;7;7;3.148
t-17;AB-28-2n;28;2n;25-11-2020;8;7;3.133
t-17;AB-28-2n;28;2n;25-11-2020;9;7;2.821
t-17;AB-28-2n;28;2n;25-11-2020;10;7;3.446
t-17;AB-28-2n;28;2n;25-11-2020;11;7;2.884
t-17;AB-28-2n;28;2n;25-11-2020;12;7;2.656
t-17;AB-28-2n;28;2n;25-11-2020;13;7;2.774
t-17;AB-28-2n;28;2n;25-11-2020;14;7;3.329
t-17;AB-28-2n;28;2n;25-11-2020;15;7;3.216
t-17;AB-28-2n;28;2n;25-11-2020;1;14;3.743
t-17;AB-28-2n;28;2n;25-11-2020;2;14;4.902
t-17;AB-28-2n;28;2n;25-11-2020;3;14;4.484
t-17;AB-28-2n;28;2n;25-11-2020;4;14;4.865
t-17;AB-28-2n;28;2n;25-11-2020;5;14;3.47
t-17;AB-28-2n;28;2n;25-11-2020;6;14;4.026
t-17;AB-28-2n;28;2n;25-11-2020;7;14;4.714
t-17;AB-28-2n;28;2n;25-11-2020;8;14;5.22
t-17;AB-28-2n;28;2n;25-11-2020;9;14;3.257
t-17;AB-28-2n;28;2n;25-11-2020;10;14;4.297
t-17;AB-28-2n;28;2n;25-11-2020;1;21;6.629
t-17;AB-28-2n;28;2n;25-11-2020;2;21;4.993
t-17;AB-28-2n;28;2n;25-11-2020;3;21;6.94
t-17;AB-28-2n;28;2n;25-11-2020;4;21;7.47
t-17;AB-28-2n;28;2n;25-11-2020;5;21;7.792
t-17;AB-28-2n;28;2n;25-11-2020;6;21;5.733
t-17;AB-28-2n;28;2n;25-11-2020;7;21;5.721
t-17;AB-28-2n;28;2n;25-11-2020;8;21;6.767
t-17;AB-28-2n;28;2n;25-11-2020;9;21;7.099
t-17;AB-28-2n;28;2n;25-11-2020;10;21;6.112
t-17;AB-28-2n;28;2n;25-11-2020;1;28;7.937
t-17;AB-28-2n;28;2n;25-11-2020;2;28;8.695
t-17;AB-28-2n;28;2n;25-11-2020;3;28;6.979
t-17;AB-28-2n;28;2n;25-11-2020;4;28;5.329
t-17;AB-28-2n;28;2n;25-11-2020;5;28;7.105
t-17;AB-28-2n;28;2n;25-11-2020;6;28;6.879
t-17;AB-28-2n;28;2n;25-11-2020;7;28;7.718
t-17;AB-28-2n;28;2n;25-11-2020;8;28;5.974
t-17;AB-28-2n;28;2n;25-11-2020;9;28;8.432
t-17;AB-28-2n;28;2n;25-11-2020;10;28;7.399
t-17;AB-28-2n;28;2n;25-11-2020;1;35;9.622
t-17;AB-28-2n;28;2n;25-11-2020;2;35;7.399
t-17;AB-28-2n;28;2n;25-11-2020;3;35;7.661
t-17;AB-28-2n;28;2n;25-11-2020;4;35;8.296
t-17;AB-28-2n;28;2n;25-11-2020;5;35;5.371
t-17;AB-28-2n;28;2n;25-11-2020;6;35;10.734
t-17;AB-28-2n;28;2n;25-11-2020;7;35;8.101
t-17;AB-28-2n;28;2n;25-11-2020;8;35;7.596
t-17;AB-28-2n;28;2n;25-11-2020;9;35;7.279
t-17;AB-28-2n;28;2n;25-11-2020;10;35;7.239
t-17;AB-28-2n;28;2n;25-11-2020;1;42;10.761
t-17;AB-28-2n;28;2n;25-11-2020;2;42;11.308
t-17;AB-28-2n;28;2n;25-11-2020;3;42;9.593
t-17;AB-28-2n;28;2n;25-11-2020;4;42;9.619
t-17;AB-28-2n;28;2n;25-11-2020;5;42;8.816
t-17;AB-28-2n;28;2n;25-11-2020;6;42;7.585
t-17;AB-28-2n;28;2n;25-11-2020;7;42;11.567
t-17;AB-28-2n;28;2n;25-11-2020;8;42;10.196
t-17;AB-28-2n;28;2n;25-11-2020;9;42;9.687
t-17;AB-28-2n;28;2n;25-11-2020;10;42;10.276
t-17;AB-28-2n;28;2n;25-11-2020;1;49;9.197
t-17;AB-28-2n;28;2n;25-11-2020;2;49;11.902
t-17;AB-28-2n;28;2n;25-11-2020;3;49;14.466
t-17;AB-28-2n;28;2n;25-11-2020;4;49;10.997
t-17;AB-28-2n;28;2n;25-11-2020;5;49;11.022
t-17;AB-28-2n;28;2n;25-11-2020;6;49;9.174
t-17;AB-28-2n;28;2n;25-11-2020;7;49;10.013
t-17;AB-28-2n;28;2n;25-11-2020;8;49;13.068
t-17;AB-28-2n;28;2n;25-11-2020;9;49;11.809
t-17;AB-28-2n;28;2n;25-11-2020;10;49;13.27
t-17;AB-28-2n;28;2n;25-11-2020;1;56;12.52
t-17;AB-28-2n;28;2n;25-11-2020;2;56;13.717
t-17;AB-28-2n;28;2n;25-11-2020;3;56;15.552
t-17;AB-28-2n;28;2n;25-11-2020;4;56;12.919
t-17;AB-28-2n;28;2n;25-11-2020;5;56;10.845
t-17;AB-28-2n;28;2n;25-11-2020;6;56;13.343
t-17;AB-28-2n;28;2n;25-11-2020;7;56;14.213
t-17;AB-28-2n;28;2n;25-11-2020;8;56;12.904
t-17;AB-28-2n;28;2n;25-11-2020;9;56;10.167
t-17;AB-28-2n;28;2n;25-11-2020;10;56;11.078
t-17;AB-28-2n;28;2n;25-11-2020;1;63;12.908
t-17;AB-28-2n;28;2n;25-11-2020;2;63;13.9
t-17;AB-28-2n;28;2n;25-11-2020;3;63;12.27
t-17;AB-28-2n;28;2n;25-11-2020;4;63;9.467
t-17;AB-28-2n;28;2n;25-11-2020;5;63;14.647
t-17;AB-28-2n;28;2n;25-11-2020;6;63;15.072
t-17;AB-28-2n;28;2n;25-11-2020;7;63;11.784
t-17;AB-28-2n;28;2n;25-11-2020;8;63;13.603
t-17;AB-28-2n;28;2n;25-11-2020;9;63;12.628
t-17;AB-28-2n;28;2n;25-11-2020;10;63;12.169
t-17;AB-28-2n;28;2n;25-11-2020;1;70;13.924
t-17;AB-28-2n;28;2n;25-11-2020;2;70;16.948
t-17;AB-28-2n;28;2n;25-11-2020;3;70;10.905
t-17;AB-28-2n;28;2n;25-11-2020;4;70;16.855
t-17;AB-28-2n;28;2n;25-11-2020;5;70;17.452
t-17;AB-28-2n;28;2n;25-11-2020;6;70;15.216
t-17;AB-28-2n;28;2n;25-11-2020;7;70;8.595
t-17;AB-28-2n;28;2n;25-11-2020;8;70;14.342
t-17;AB-28-2n;28;2n;25-11-2020;9;70;18.434
t-17;AB-28-2n;28;2n;25-11-2020;10;70;16.658
t-17;AB-28-2n;28;2n;25-11-2020;1;77;17.011
t-17;AB-28-2n;28;2n;25-11-2020;2;77;16.233
t-17;AB-28-2n;28;2n;25-11-2020;3;77;18.905
t-17;AB-28-2n;28;2n;25-11-2020;4;77;17.724
t-17;AB-28-2n;28;2n;25-11-2020;5;77;14.906
t-17;AB-28-2n;28;2n;25-11-2020;6;77;14.661
t-17;AB-28-2n;28;2n;25-11-2020;7;77;16.042
t-17;AB-28-2n;28;2n;25-11-2020;8;77;15.807
t-17;AB-28-2n;28;2n;25-11-2020;9;77;19.153
t-17;AB-28-2n;28;2n;25-11-2020;10;77;15.654
t-17;AB-28-2n;28;2n;25-11-2020;1;84;17.638
t-17;AB-28-2n;28;2n;25-11-2020;2;84;15.184
t-17;AB-28-2n;28;2n;25-11-2020;3;84;16.51
t-17;AB-28-2n;28;2n;25-11-2020;4;84;18.882
t-17;AB-28-2n;28;2n;25-11-2020;5;84;16.181
t-17;AB-28-2n;28;2n;25-11-2020;6;84;17.901
t-17;AB-28-2n;28;2n;25-11-2020;7;84;14.07
t-17;AB-28-2n;28;2n;25-11-2020;8;84;15.949
t-17;AB-28-2n;28;2n;25-11-2020;9;84;16.24
t-17;AB-28-2n;28;2n;25-11-2020;10;84;19.11
t-17;AB-28-2n;28;2n;25-11-2020;1;91;21.673
t-17;AB-28-2n;28;2n;25-11-2020;2;91;19.582
t-17;AB-28-2n;28;2n;25-11-2020;3;91;18.922
t-17;AB-28-2n;28;2n;25-11-2020;4;91;15.888
t-17;AB-28-2n;28;2n;25-11-2020;5;91;20.63
t-17;AB-28-2n;28;2n;25-11-2020;6;91;17.251
t-17;AB-28-2n;28;2n;25-11-2020;7;91;19.479
t-17;AB-28-2n;28;2n;25-11-2020;8;91;15.626
t-17;AB-28-2n;28;2n;25-11-2020;9;91;18.655
t-17;AB-28-2n;28;2n;25-11-2020;10;91;17.147
t-17;AB-28-2n;28;2n;25-11-2020;1;98;18.806
t-17;AB-28-2n;28;2n;25-11-2020;2;98;17.833
t-17;AB-28-2n;28;2n;25-11-2020;3;98;19.622
t-17;AB-28-2n;28;2n;25-11-2020;4;98;21.232
t-17;AB-28-2n;28;2n;25-11-2020;5;98;16.382
t-17;AB-28-2n;28;2n;25-11-2020;6;98;18.276
t-17;AB-28-2n;28;2n;25-11-2020;7;98;19.726
t-17;AB-28-2n;28;2n;25-11-2020;8;98;18.086
t-17;AB-28-2n;28;2n;25-11-2020;9;98;17.352
t-17;AB-28-2n;28;2n;25-11-2020;10;98;16.383
t-18;AB-28-2n;28;2n;25-11-2020;1;7;2.751
t-18;AB-28-2n;28;2n;25-11-2020;2;7;3.158
t-18;AB-28-2n;28;2n;25-11-2020;3;7;3.436
t-18;AB-28-2n;28;2n;25-11-2020;4;7;2.973
t-18;AB-28-2n;28;2n;25-11-2020;5;7;3.377
t-18;AB-28-2n;28;2n;25-11-2020;6;7;2.891
t-18;AB-28-2n;28;2n;25-11-2020;7;7;3.106
t-18;AB-28-2n;28;2n;25-11-2020;8;7;3.666
t-18;AB-28-2n;28;2n;25-11-2020;9;7;3.398
t-18;AB-28-2n;28;2n;25-11-2020;10;7;3.528
t-18;AB-28-2n;28;2n;26-11-2020;11;7;3.055
t-18;AB-28-2n;28;2n;27-11-2020;12;7;2.966
t-18;AB-28-2n;28;2n;25-11-2020;1;14;4.347
t-18;AB-28-2n;28;2n;25-11-2020;2;14;3.592
t-18;AB-28-2n;28;2n;25-11-2020;3;14;4.113
t-18;AB-28-2n;28;2n;25-11-2020;4;14;4.174
t-18;AB-28-2n;28;2n;25-11-2020;5;14;5.816
t-18;AB-28-2n;28;2n;25-11-2020;6;14;3.217
t-18;AB-28-2n;28;2n;25-11-2020;7;14;3.972
t-18;AB-28-2n;28;2n;25-11-2020;8;14;4.119
t-18;AB-28-2n;28;2n;25-11-2020;9;14;3.534
t-18;AB-28-2n;28;2n;25-11-2020;10;14;3.562
t-18;AB-28-2n;28;2n;25-11-2020;1;21;8.135
t-18;AB-28-2n;28;2n;25-11-2020;2;21;5.847
t-18;AB-28-2n;28;2n;25-11-2020;3;21;8.18
t-18;AB-28-2n;28;2n;25-11-2020;4;21;7.392
t-18;AB-28-2n;28;2n;25-11-2020;5;21;6.351
t-18;AB-28-2n;28;2n;25-11-2020;6;21;5.165
t-18;AB-28-2n;28;2n;25-11-2020;7;21;6.996
t-18;AB-28-2n;28;2n;25-11-2020;8;21;7.404
t-18;AB-28-2n;28;2n;25-11-2020;9;21;4.696
t-18;AB-28-2n;28;2n;25-11-2020;10;21;5.755
t-18;AB-28-2n;28;2n;25-11-2020;1;28;8.094
t-18;AB-28-2n;28;2n;25-11-2020;2;28;7.772
t-18;AB-28-2n;28;2n;25-11-2020;3;28;7.241
t-18;AB-28-2n;28;2n;25-11-2020;4;28;8.022
t-18;AB-28-2n;28;2n;25-11-2020;5;28;5.759
t-18;AB-28-2n;28;2n;25-11-2020;6;28;9.126
t-18;AB-28-2n;28;2n;25-11-2020;7;28;6.557
t-18;AB-28-2n;28;2n;25-11-2020;8;28;7.036
t-18;AB-28-2n;28;2n;25-11-2020;9;28;9.508
t-18;AB-28-2n;28;2n;25-11-2020;10;28;8.678
t-18;AB-28-2n;28;2n;25-11-2020;1;35;10.816
t-18;AB-28-2n;28;2n;25-11-2020;2;35;8.1
t-18;AB-28-2n;28;2n;25-11-2020;3;35;8.856
t-18;AB-28-2n;28;2n;25-11-2020;4;35;7.768
t-18;AB-28-2n;28;2n;25-11-2020;5;35;10.229
t-18;AB-28-2n;28;2n;25-11-2020;6;35;6.432
t-18;AB-28-2n;28;2n;25-11-2020;7;35;6.892
t-18;AB-28-2n;28;2n;25-11-2020;8;35;8.022
t-18;AB-28-2n;28;2n;25-11-2020;9;35;9.595
t-18;AB-28-2n;28;2n;25-11-2020;10;35;6.377
t-18;AB-28-2n;28;2n;25-11-2020;1;42;5.902
t-18;AB-28-2n;28;2n;25-11-2020;2;42;11.373
t-18;AB-28-2n;28;2n;25-11-2020;3;42;8.161
t-18;AB-28-2n;28;2n;25-11-2020;4;42;12.764
t-18;AB-28-2n;28;2n;25-11-2020;5;42;7.336
t-18;AB-28-2n;28;2n;25-11-2020;6;42;8.942
t-18;AB-28-2n;28;2n;25-11-2020;7;42;6.231
t-18;AB-28-2n;28;2n;25-11-2020;8;42;12.477
t-18;AB-28-2n;28;2n;25-11-2020;9;42;9.859
t-18;AB-28-2n;28;2n;25-11-2020;10;42;8.192
t-18;AB-28-2n;28;2n;25-11-2020;1;49;9.611
t-18;AB-28-2n;28;2n;25-11-2020;2;49;7.144
t-18;AB-28-2n;28;2n;25-11-2020;3;49;7.669
t-18;AB-28-2n;28;2n;25-11-2020;4;49;14.713
t-18;AB-28-2n;28;2n;25-11-2020;5;49;7.132
t-18;AB-28-2n;28;2n;25-11-2020;6;49;11.267
t-18;AB-28-2n;28;2n;25-11-2020;7;49;11.775
t-18;AB-28-2n;28;2n;25-11-2020;8;49;10.665
t-18;AB-28-2n;28;2n;25-11-2020;9;49;13.023
t-18;AB-28-2n;28;2n;25-11-2020;10;49;10.849
t-18;AB-28-2n;28;2n;25-11-2020;1;56;14.555
t-18;AB-28-2n;28;2n;25-11-2020;2;56;14.127
t-18;AB-28-2n;28;2n;25-11-2020;3;56;6.609
t-18;AB-28-2n;28;2n;25-11-2020;4;56;14.757
t-18;AB-28-2n;28;2n;25-11-2020;5;56;15.311
t-18;AB-28-2n;28;2n;25-11-2020;6;56;7.257
t-18;AB-28-2n;28;2n;25-11-2020;7;56;9.602
t-18;AB-28-2n;28;2n;25-11-2020;8;56;9.749
t-18;AB-28-2n;28;2n;25-11-2020;9;56;12.287
t-18;AB-28-2n;28;2n;25-11-2020;10;56;10.125
t-18;AB-28-2n;28;2n;25-11-2020;1;63;12.079
t-18;AB-28-2n;28;2n;25-11-2020;2;63;13.617
t-18;AB-28-2n;28;2n;25-11-2020;3;63;13.126
t-18;AB-28-2n;28;2n;25-11-2020;4;63;12.058
t-18;AB-28-2n;28;2n;25-11-2020;5;63;10.825
t-18;AB-28-2n;28;2n;25-11-2020;6;63;16.398
t-18;AB-28-2n;28;2n;25-11-2020;7;63;7.364
t-18;AB-28-2n;28;2n;25-11-2020;8;63;13.588
t-18;AB-28-2n;28;2n;25-11-2020;9;63;15.588
t-18;AB-28-2n;28;2n;25-11-2020;10;63;12.521
t-18;AB-28-2n;28;2n;25-11-2020;1;70;13.158
t-18;AB-28-2n;28;2n;25-11-2020;2;70;16.524
t-18;AB-28-2n;28;2n;25-11-2020;3;70;11.851
t-18;AB-28-2n;28;2n;25-11-2020;4;70;15.007
t-18;AB-28-2n;28;2n;25-11-2020;5;70;15.024
t-18;AB-28-2n;28;2n;25-11-2020;6;70;16.378
t-18;AB-28-2n;28;2n;25-11-2020;7;70;15.815
t-18;AB-28-2n;28;2n;25-11-2020;8;70;13.424
t-18;AB-28-2n;28;2n;25-11-2020;9;70;12.623
t-18;AB-28-2n;28;2n;25-11-2020;10;70;17.511
t-18;AB-28-2n;28;2n;25-11-2020;1;77;14.806
t-18;AB-28-2n;28;2n;25-11-2020;2;77;18.964
t-18;AB-28-2n;28;2n;25-11-2020;3;77;16.234
t-18;AB-28-2n;28;2n;25-11-2020;4;77;15.637
t-18;AB-28-2n;28;2n;25-11-2020;5;77;15.617
t-18;AB-28-2n;28;2n;25-11-2020;6;77;18.726
t-18;AB-28-2n;28;2n;25-11-2020;7;77;15.888
t-18;AB-28-2n;28;2n;25-11-2020;8;77;16.903
t-18;AB-28-2n;28;2n;25-11-2020;9;77;16.781
t-18;AB-28-2n;28;2n;25-11-2020;10;77;16.989
t-18;AB-28-2n;28;2n;25-11-2020;1;84;17.281
t-18;AB-28-2n;28;2n;25-11-2020;2;84;16.258
t-18;AB-28-2n;28;2n;25-11-2020;3;84;16.48
t-18;AB-28-2n;28;2n;25-11-2020;4;84;16.259
t-18;AB-28-2n;28;2n;25-11-2020;5;84;15.726
t-18;AB-28-2n;28;2n;25-11-2020;6;84;16.252
t-18;AB-28-2n;28;2n;25-11-2020;7;84;12.24
t-18;AB-28-2n;28;2n;25-11-2020;8;84;16.282
t-18;AB-28-2n;28;2n;25-11-2020;9;84;15.703
t-18;AB-28-2n;28;2n;25-11-2020;10;84;15.931
t-18;AB-28-2n;28;2n;25-11-2020;1;91;16.257
t-18;AB-28-2n;28;2n;25-11-2020;2;91;20.57
t-18;AB-28-2n;28;2n;25-11-2020;3;91;19.894
t-18;AB-28-2n;28;2n;25-11-2020;4;91;15.945
t-18;AB-28-2n;28;2n;25-11-2020;5;91;15.52
t-18;AB-28-2n;28;2n;25-11-2020;6;91;17.73
t-18;AB-28-2n;28;2n;25-11-2020;7;91;19.778
t-18;AB-28-2n;28;2n;25-11-2020;8;91;15.211
t-18;AB-28-2n;28;2n;25-11-2020;9;91;19.118
t-18;AB-28-2n;28;2n;25-11-2020;10;91;15.84
t-18;AB-28-2n;28;2n;25-11-2020;1;98;19.974
t-18;AB-28-2n;28;2n;25-11-2020;2;98;15.32
t-18;AB-28-2n;28;2n;25-11-2020;3;98;18.617
t-18;AB-28-2n;28;2n;25-11-2020;4;98;17.224
t-18;AB-28-2n;28;2n;25-11-2020;5;98;18.557
t-18;AB-28-2n;28;2n;25-11-2020;6;98;20.777
t-18;AB-28-2n;28;2n;25-11-2020;7;98;14.377
t-18;AB-28-2n;28;2n;25-11-2020;8;98;19.351
t-18;AB-28-2n;28;2n;25-11-2020;9;98;18.021
t-18;AB-28-2n;28;2n;25-11-2020;10;98;20.769
t-19;AB-28-2n;28;2n;25-11-2020;1;7;NA
t-19;AB-28-2n;28;2n;25-11-2020;2;7;NA
t-19;AB-28-2n;28;2n;25-11-2020;3;7;NA
t-19;AB-28-2n;28;2n;25-11-2020;4;7;NA
t-19;AB-28-2n;28;2n;25-11-2020;5;7;NA
t-19;AB-28-2n;28;2n;25-11-2020;6;7;NA
